check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 0.40235947810852507 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.35765286942980007
frequent link | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
frequent | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
gogh claud monet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
gogh claud | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
gogh starri night | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
gogh starri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
gogh | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
hand frequent link | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
hand frequent | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
hand | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.01562561080033107 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.016422835841164288
happi optim context | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
happi optim | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
happi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
human emot cognit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
human emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
human | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.01562561080033107 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.022668139611747892
impact psycholog affect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
impact psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
impact visual element | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
impact visual | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
impact | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
individu express feel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
individu express | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
individu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
instanc red passion | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
instanc red | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
instanc swirl blue | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
instanc swirl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
instanc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
intersect art psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
intersect art | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
intersect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
issu fascin intersect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
issu fascin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
issu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
leverag centuri instanc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
leverag centuri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
leverag | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
link calm seren | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
link calm | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
master color psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
master color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
master | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
monet master color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
monet master | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
monet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
mood emot convei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
mood emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
mood | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
night instanc swirl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
night instanc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
night | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.01562561080033107 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.016422835841164288
optim context caution | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
optim context | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
optim | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
paint van gogh | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
paint van | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
paint | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
passion energi danger | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
passion energi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
passion | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
peac tranquil yellow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
peac tranquil | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
peac | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
piec artwork color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
piec artwork | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
piec | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
power color evok | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
power color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
profound impact psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
profound impact visual | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
profound impact | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
profound | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
properti associ artist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
properti associ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
properti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog affect mood | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog affect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog aspect art | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog aspect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog color convei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog properti associ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog properti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog underscor profound | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog underscor | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.11177597538806047
red passion energi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
red passion | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
red | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
reflect emot turmoil | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
reflect emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
reflect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
sens peac tranquil | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
sens peac | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
sens | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
seren creat sens | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
seren creat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
seren | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
sky reflect emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
sky reflect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
sky | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
starri night instanc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
starri night | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
starri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
strong emot blue | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
strong emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
strong | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
studi applic color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
studi applic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
studi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
swirl blue yellow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
swirl blue | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
swirl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
therapi color individu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
therapi color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
therapi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
tranquil yellow evok | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
tranquil yellow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
tranquil | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
turbul sky reflect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
turbul sky | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
turbul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
turmoil studi applic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
turmoil studi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
turmoil | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
underscor profound impact | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
underscor profound | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
underscor | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
van gogh claud | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
van gogh starri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
van gogh | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
van | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
vibrant turbul sky | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
vibrant turbul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
vibrant | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
vincent van gogh | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
vincent van | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
vincent | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
visual element human | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
visual element | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
visual | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.01562561080033107 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.016422835841164288
yellow creat vibrant | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
yellow creat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
yellow evok feel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
yellow evok | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.022355195077612095
yellow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.04471039015522419
adventur avid travel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
adventur avid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
adventur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
avid travel combin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
avid travel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
avid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
baikal deepest freshwat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
baikal deepest | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
baikal | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
china offer divers | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
china offer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
china | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
combin histor signific | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
combin histor | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
combin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
commenc complet railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
commenc complet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
commenc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
complet railwai vital | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
complet railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
complet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
connect moscow west | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
connect moscow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
connect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
consid lifetim adventur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
consid lifetim | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
consid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
contin right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
contin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
countri eastern seaboard | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
countri eastern | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
countri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
cross time zone | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
cross time | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
cross | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
cultur experi journei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
cultur experi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
cultur travel opt | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
cultur travel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
cultur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.03424335983902341 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.022668139611747892
deepest freshwat lake | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
deepest freshwat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
deepest | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
distanc kilomet mile | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
distanc kilomet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
divers landscap cultur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
divers landscap | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
divers russia geographi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
divers russia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
divers | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
divert mongolia china | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
divert mongolia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
divert | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
eastern seaboard journei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
eastern seaboard | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
eastern | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
engin cross time | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
engin cross | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
engin marvel uniqu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
engin marvel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
engin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
eurasian contin right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
eurasian contin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
eurasian | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
experi journei tran | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
experi journei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
experi sheer scale | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
experi sheer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
experi showcas russia | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
experi showcas | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
experi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.07348675828704401
fascin span impress | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
fascin span | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
feat engin cross | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
feat engin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
feat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
freshwat lake commenc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
freshwat lake | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
freshwat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
geographi cultur travel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
geographi cultur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
geographi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
histor signific engin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
histor signific | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
histor | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
immers vast eurasian | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
immers vast | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
immers | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
impress distanc kilomet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
impress distanc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
impress | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
includ ural mountain | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
includ ural | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
includ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.017121679919511704 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.022668139611747892
journei railwai offer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
journei railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
journei tran siberian | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
journei tran | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
journei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.048991172191362675
kilomet mile tran | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
kilomet mile | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.024495586095681338
